id,발생시각,처음확인,마지막변경,권역,보낸곳,출처,지역,건물,건물종류,화재종류,진행상태,등급,신빙성,규모,규모근거,진화,층,아래층물피해,관련기사수,언론사,관련기사,네이버뉴스,네이버블로그,네이버카페
cae37dafe0bb,2026-09-23T02:31:24+09:00,,2026-09-25T01:11:33+09:00,서울 남부,,소방출동,서울특별시 구로구 구로동,,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,,,
cf6420b5c339,2026-09-23T03:08:57+09:00,,2026-09-25T01:11:33+09:00,경기 동부,,소방출동,경기도 구리시 수택동,푸른솔 빌라 인근,주택·빌라,기타화재,진화중,★,,,,,,,0,,,,,
7fa2ccc9de3e,2026-09-23T04:55:47+09:00,,2026-09-25T01:11:33+09:00,인천,,소방출동,인천광역시 미추홀구 용현동,,,"일반화재(차량,주택)",방문가능,★,,,,,,,0,,,,,
25014985589d,2026-09-23T06:23:11+09:00,,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 남양주시 퇴계원읍 퇴계원리,미래학원 건물,교육·종교,기타화재,진화중,,,,,,,,0,,,0,0,0
c6e7961159ff,2026-09-23T06:38:35+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 수원시 장안구 정자동,,,"일반화재(차량,주택)",방문가능,★★,,,,,,,0,,,0,0,0
c12ef8693d17,2026-09-23T07:23:08+09:00,,2026-09-25T06:03:24+09:00,경기 동부,,소방출동,경기도 광주시 양벌동,,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
90d040b3f67b,2026-09-23T07:55:00+09:00,,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 고양시 덕양구 신원동,,,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
14566d5d2c91,2026-09-23T08:00:47+09:00,,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 광진구 자양동,,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
c99507710c20,2026-09-23T08:09:36+09:00,2026-09-23T16:38:18.564562+09:00,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 오산시 가장동,메디안스랩,,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
2555e7180952,2026-09-23T08:15:44+09:00,2026-09-23T16:38:18.564562+09:00,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 안성시 동본동,,,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
e4b8c047a53d,2026-09-23T09:03:13+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 화성시 동탄구 신동,신동초등학교,교육·종교,기타화재,방문가능,★,,,,,,,0,,,0,0,0
3e14fea73203,2026-09-23T09:16:50+09:00,,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 중랑구 망우동,,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
134ee5fd5e4f,2026-09-23T09:17:09+09:00,,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 성북구 장위동,,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
8cf6abdc80d7,2026-09-23T09:31:00+09:00,,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 연천군 군남면 진상리,,,"일반화재(차량,주택)",방문가능,★★,,,,,,,0,,,0,0,0
c73a2c321afd,2026-09-23T10:24:52+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 화성시 만세구 향남읍 구문천리,진흥소각장,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
296f753bb842,2026-09-23T10:31:22+09:00,,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 종로구 안국동,,,"일반화재(차량,주택)",방문가능,★★,,,,,,,0,,,0,0,0
d4095fdf0de0,2026-09-23T10:46:00+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,구글뉴스,경기도 화성 양감면,,,,확인필요,,,,,,,,0,,,0,0,0
0dcf465db667,2026-09-23T11:27:18+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 관악구 신림동,,,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
30c21c9cb335,2026-09-23T12:08:00+09:00,,2026-09-25T06:03:24+09:00,경기 서부,,소방출동,경기도 시흥시 배곧동,옥된장 건물,,"일반화재(차량,주택)",진화중,,,,,,,,0,,,0,0,0
49a745c074d2,2026-09-23T12:12:24+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 강남구 수서동,수서6단지아파트,아파트,"고층건물(3층이상,아파트)",진화중,★★,,,,,,,0,,,0,0,0
b4af18a062c3,2026-09-23T12:17:00+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 평택시 칠괴동,,,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
ef8a450452f6,2026-09-23T12:35:02+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 평택시 통복동,원조시장떡볶이,상가·빌딩,기타화재,진화중,★★,,,,,,,0,,,0,0,0
b41174b56160,2026-09-23T12:35:39+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,구글뉴스,경기도 평택 비전동,,,,확인필요,,,,,,,,0,,,0,0,0
e30f96aa8997,2026-09-23T13:30:08+09:00,,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 미추홀구 용현동,우암빌라,주택·빌라,기타화재,진화중,★,,,,,,,0,,,0,0,0
8cec7d4ef865,2026-09-23T13:40:34+09:00,,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 검단구 당하동,,,"일반화재(차량,주택)",방문가능,★★,,,,,,,0,,,0,0,0
91a237bef780,2026-09-23T14:17:32+09:00,,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 성남시 중원구 여수동,라온힐요양병원 라온힐요양병원,요양·병원,"일반화재(차량,주택)",방문가능,,,,,,,,0,,,0,0,0
8a6b6e7a6b25,2026-09-23T14:19:02+09:00,,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 중구 회현동1가,,,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
d9d5f7a8b3c8,2026-09-23T15:13:09+09:00,,2026-09-25T06:03:24+09:00,서울 남부,,소방출동,서울특별시 강서구 화곡동,동도 센트리움 오피스텔,상가·빌딩,기타화재,방문가능,★★★,,,,,,,0,,,0,0,0
a129cdefca7f,2026-09-23T16:33:54+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,인천,,소방출동,인천광역시 부평구 갈산동,금강프라자,상가·빌딩,"일반화재(차량,주택)",방문가능,★★,,,,,,,0,,,0,0,0
b7d28719d876,2026-09-23T16:53:39+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,경기 북부,,소방출동,경기도 파주시 야당동,에펠타워,상가·빌딩,"고층건물(3층이상,아파트)",진화중,★,,,,,,,0,,,0,0,0
229ba3fa2ef2,2026-09-23T17:04:47+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,서울 북부,,소방출동,서울특별시 마포구 연남동,서울공공주택연남동희망원룸,주택·빌라,"일반화재(차량,주택)",진화중,★,,,,,,,0,,,0,0,0
484f8dbb6e58,2026-09-23T17:23:46+09:00,2026-09-23T22:00:17.392017+09:00,2026-09-25T06:03:24+09:00,경기 남부,,소방출동,경기도 의왕시 고천동,고천초등학교,교육·종교,기타화재,진화중,,,,,,,,0,,,0,0,0
